ticker,name,sector,sub_industry,date_added,source
MMM,3M,Industrials,Industrial Conglomerates,1957-03-04,wikipedia_current
AOS,A. O. Smith,Industrials,Building Products,2017-07-26,wikipedia_current
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1957-03-04,wikipedia_current
ABBV,AbbVie,Health Care,Biotechnology,2012-12-31,wikipedia_current
ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,wikipedia_current
ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05,wikipedia_current
AMD,Advanced Micro Devices,Information Technology,Semiconductors,2017-03-20,wikipedia_current
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998-10-02,wikipedia_current
AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,wikipedia_current
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,2000-06-05,wikipedia_current
APD,Air Products,Materials,Industrial Gases,1985-04-30,wikipedia_current
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2023-09-18,wikipedia_current
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,2007-07-12,wikipedia_current
ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016-07-01,wikipedia_current
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,wikipedia_current
ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,wikipedia_current
ALLE,Allegion,Industrials,Building Products,2013-12-02,wikipedia_current
LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,wikipedia_current
ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,wikipedia_current
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2006-04-03,wikipedia_current
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2014-04-03,wikipedia_current
MO,Altria,Consumer Staples,Tobacco,1957-03-04,wikipedia_current
AMZN,Amazon,Consumer Discretionary,Broadline Retail,2005-11-18,wikipedia_current
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,2019-06-07,wikipedia_current
AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,wikipedia_current
AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,wikipedia_current
AXP,American Express,Financials,Consumer Finance,1976-06-30,wikipedia_current
AIG,American International Group,Financials,Multi-line Insurance,1980-03-31,wikipedia_current
AMT,American Tower,Real Estate,Telecom Tower REITs,2007-11-19,wikipedia_current
AWK,American Water Works,Utilities,Water Utilities,2016-03-04,wikipedia_current
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,wikipedia_current
AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,wikipedia_current
AMGN,Amgen,Health Care,Biotechnology,1992-01-02,wikipedia_current
APH,Amphenol,Information Technology,Electronic Components,2008-09-30,wikipedia_current
ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,wikipedia_current
AON,Aon plc,Financials,Insurance Brokers,1996-04-23,wikipedia_current
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,wikipedia_current
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,2024-12-23,wikipedia_current
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,wikipedia_current
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,1995-03-16,wikipedia_current
APP,AppLovin,Information Technology,Application Software,2025-09-22,wikipedia_current
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,2012-12-24,wikipedia_current
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,2022-11-01,wikipedia_current
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1957-03-04,wikipedia_current
ARES,Ares Management,Financials,Asset Management & Custody Banks,2025-12-11,wikipedia_current
ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28,wikipedia_current
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,wikipedia_current
AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,wikipedia_current
T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30,wikipedia_current
ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,wikipedia_current
ADSK,Autodesk,Information Technology,Application Software,1989-12-01,wikipedia_current
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,1981-03-31,wikipedia_current
AZO,AutoZone,Consumer Discretionary,Automotive Retail,1997-01-02,wikipedia_current
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,2007-01-10,wikipedia_current
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,1987-12-31,wikipedia_current
